arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
ARM,128,32,512,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
x86,128,32,512,1000000,80,0.075328,75328326000,43927744,64430812,19179460,725,55958744,693,1473,1449,1.714812,0.583154
ARM,64,128,128,1000000,40,0.010420,10420252000,7021893,7837955,3299931,864,7021385,540,816,1237,1.483960,0.673873
ARM,128,128,1024,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
ARM,32,128,256,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
ARM,64,32,256,1000000,20,0.002198,2198056000,1479303,1689401,649868,596,1478796,531,830,962,1.485850,0.673016
x86,32,128,128,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
x86,32,64,512,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
x86,32,64,256,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
ARM,64,32,256,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
RISCV,128,128,128,1000000,80,0.076585,76585008000,46308329,46359578,19951757,813,56488937,444,1696,1188,1.653796,0.604669
x86,64,64,512,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
ARM,128,32,1024,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
RISCV,64,128,128,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,0,0,0,1000000,80,3.771727,3771726997000,46308329,46359578,,,,,,,81.447638,0.012278
ARM,64,128,128,1000000,80,0.058562,58562419000,39188736,42408450,19239967,1231,39188253,545,4037,1197,1.494366,0.669180
ARM,128,64,512,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,64,64,256,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
ARM,128,32,128,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
x86,128,64,128,1000000,80,0.075329,75328652000,43927744,64430812,19179460,725,55958746,691,1470,1450,1.714820,0.583152
